sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
hs	0	0	0	NA	15.262821	20.688635	19.455128	17.358974	26	-5.425815	-10.737179	-5.311365	-4.192308	-3.329661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.170737	0.06	0.029375	0.08625	0.489583	NA	NA	NA	NA	NA	NA	NA	NA	-0.133394485399	-0.317709835178	0.001746	0.0046954
hs	0.325	0.325	0.3	0.182857	15.99359	17.867458	18.724359	17.358974	23	-1.873868	-7.00641	-5.132542	-2.730769	-0.508483	3.128205	3.866963	2.538462	2.833333	7	-0.738758	-3.871795	-3.133037	0.589744	-1.033629	0.116284	0.04625	0.040625	0.0575	0.878378	0.0416397	0.00903995	95.3846	28.7593	1.52740039569	0.03259975	1.19895594665	66.6253	-0.326319906132	-0.462153231928	0.00247095	0.00380588
hs	0.075	0.075	0.075	0.051282	7.312821	10.109219	2.738462	5.025641	13	-2.796399	-5.687179	-2.890781	4.574359	-5.083578	2.666667	2.666667	2.333333	2.5	3	0	-0.333333	-0.333333	0.333333	-0.166667	0.045895	0.0575	0.026875	0.075	0.467391	0.0670346	0.0105441	117.167	21.8626	1.84964244222	0.0564905	1.67882285315	95.3044	-0.64233620306	-0.482840593375	0.00822363	0.00550522
hs	0.7	0.3	0.2	0.037896	13.061538	14.105888	30.323077	21.692308	12	-1.044349	1.061538	2.105888	-17.261538	7.58642	3.857143	6.938276	10.365079	7.111111	10	-3.081133	-6.142857	-3.061724	-6.507937	0.172835	0.3723	0.07375	0.043125	0.1175	0.584746	0.0479546	0.0480833	79.5198	60.4091	-0.002680193487	0.0001287	0.274866291411	19.1107	0.0248824423737	-0.0450210689245	0.0006383	0.0012084
hs	0	0	0	NA	2.95	7.288042	0.383333	1.666667	18	-4.338042	-15.05	-10.711958	2.566667	-5.621375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.104394	0.07	0.0475	0.115	0.678571	NA	NA	NA	NA	NA	NA	NA	NA	-0.0481562747949	-0.0522329572338	0.0014084	0.0015306
hs	0	0	0	NA	0.929487	3.056276	0.044872	0.487179	9	-2.126788	-8.070513	-5.943724	0.884615	-2.569096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125126	0.435	0.0125	0.5	0.028736	NA	NA	NA	NA	NA	NA	NA	NA	0.217952577041	0.33740068812	0.01455	0.0210643
hs	0	0	0	NA	2.087179	6.112551	0.169231	1.128205	18	-4.025372	-15.912821	-11.887449	1.917949	-4.984346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001774	0.13	0.024375	0.17875	0.1875	NA	NA	NA	NA	NA	NA	NA	NA	-0.331627989476	-0.232156345364	0.0156293	0.0102327
hs	0	0	0	NA	2.060256	5.172159	0.144872	1.102564	9	-3.111902	-6.939744	-3.827841	1.915385	-4.069595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057038	0.12375	0.03375	0.16875	0.272727	NA	NA	NA	NA	NA	NA	NA	NA	-0.102398744712	-0.192790859148	0.004319	0.0084825
hs	0	0	0	NA	2.375641	7.52314	0.137179	1.25641	23	-5.147499	-20.624359	-15.47686	2.238462	-6.26673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001521	0.13375	0.028125	0.19875	0.21028	NA	NA	NA	NA	NA	NA	NA	NA	0.268274555251	-0.0100582439375	0.0056517	0.0002416
hs	0	0	0	NA	1.491026	4.466864	0.098718	0.794872	12	-2.975839	-10.508974	-7.533136	1.392308	-3.671993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057324	0.27	0.02	0.345	0.074074	NA	NA	NA	NA	NA	NA	NA	NA	0.258863689675	0.392117096429	0.0110943	0.0154131
