sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
sl	0.175	0.175	-0.0125	0.006494	15.26795	17.39726	14.52692	14.89744	26	-2.129313	-10.73205	-8.602739	0.741026	-2.499825	5.142857	4.897959	5.857143	5.5	3	0.244898	2.142857	1.897959	-0.714286	0.602041	0.146802	0.045	0.035	0.06	0.777778	0.0522427	0.0129957	114.214	34.3125	1.391282	0.039247	1.202564	79.9015	0.3938064	-0.1293563	0.0024198	0.00112659
sl	0	0	-0.0625	0.045217	16.96282	18.57275	16.01154	16.48718	27	-1.609931	-10.03718	-8.427248	0.951282	-2.085573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156672	0.04	0.034375	0.05125	0.859375	NA	NA	NA	NA	NA	NA	NA	NA	0.2788243	0.0898461	0.0034952	0.0012421
sl	0	0	-0.0625	0.045217	15.92308	18.10256	17	16.46154	29	-2.179479	-13.07692	-10.89744	-1.076923	-1.641017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.158685	0.04125	0.035625	0.0525	0.863636	NA	NA	NA	NA	NA	NA	NA	NA	0.2608709	0.003902525	0.003271	5.64e-05
sl	0.675	0.325	0.4	0.16269	13.0359	15.75157	16.19487	14.61538	26	-2.715677	-12.9641	-10.24843	-3.158974	-1.13619	8.643875	13.23156	14.97151	11.80769	20	-4.587689	-11.35613	-6.768436	-6.327635	-1.423871	0.141731	0.0425	0.0325	0.0575	0.764706	0.0298236	0.0306927	59.3775	46.2756	-0.02872481	0.0008691	0.2493005	13.1019	0.2767399	0.1500615	0.00313035	0.0017468
sl	0	0	-0.0125	0.016807	15.34231	18.10256	15.99103	15.66667	33	-2.760248	-17.65769	-14.89744	-0.648718	-2.435889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118342	0.04625	0.03625	0.06125	0.783784	NA	NA	NA	NA	NA	NA	NA	NA	-0.5881347	-0.4665858	0.00742465	0.00527888
sl	0	0	-0.0125	0.016807	11.9718	13.63569	8.951282	10.46154	23	-1.663896	-11.0282	-9.364309	3.020513	-3.174153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.110584	0.05	0.04	0.07	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.5896776	-0.3987593	0.0099232	0.005821
sl	0	0	-0.0125	0.016807	12.03077	13.16549	6.123077	9.076923	14	-1.134726	-1.969231	-0.834505	5.907692	-4.088572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.134596	0.05625	0.040625	0.08125	0.722222	NA	NA	NA	NA	NA	NA	NA	NA	-0.1872801	-0.222413	0.003783	0.0046181
sl	0.225	0.225	0.225	0.162162	11.69487	13.63569	4.612821	8.153846	16	-1.94082	-4.305128	-2.364309	7.082051	-5.481845	0.555556	0.367937	0.444444	0.5	0	0.187619	0.555556	0.367937	0.111111	0.132063	0.158939	0.05875	0.043125	0.08375	0.734043	0.0980513	0.0105314	146.375	24.1914	2.23113	0.0875199	1.800175	122.1836	-0.6674403	-0.8247909	0.00798574	0.0108162
sl	0	0	-0.0125	0.016807	16.82564	19.27805	12.2	14.51282	26	-2.452405	-9.174359	-6.721954	4.625641	-4.765226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.154626	0.055	0.045	0.07	0.818182	NA	NA	NA	NA	NA	NA	NA	NA	-0.5450172	-0.5020972	0.00597101	0.00501758
sl	0	0	-0.0125	0.016807	16.32564	18.80785	12.08461	14.20513	26	-2.482209	-9.674359	-7.19215	4.241026	-4.602722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.145771	0.05125	0.045625	0.0625	0.890244	NA	NA	NA	NA	NA	NA	NA	NA	-0.4830759	-0.3622904	0.0056958	0.00380772
sl	0	0	-0.125	0.045455	15.58205	18.57275	11.90513	13.74359	29	-2.990701	-13.41795	-10.42725	3.676923	-4.829162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.146574	0.04875	0.043125	0.06	0.884615	NA	NA	NA	NA	NA	NA	NA	NA	-0.2751913	-0.1228889	0.0033546	0.00130072
sl	0	0	-0.0125	0.016807	15.9359	18.80785	11.96154	13.94872	28	-2.871953	-12.0641	-9.19215	3.974359	-4.859132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.144869	0.04875	0.043125	0.06	0.884615	NA	NA	NA	NA	NA	NA	NA	NA	-0.4990639	-0.3345412	0.0068942	0.0039983
sl	0.05	0.05	0.05	0.033898	15.85513	18.57275	11.17051	13.51282	28	-2.717624	-12.14487	-9.427248	4.684615	-5.059931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.137638	0.0475	0.041875	0.05875	0.881579	0.0106822	0.0104995	23	28.6615	0.01725117	0.0001827	-0.2200605	5.6615	-0.6611756	-0.4568941	0.00898833	0.00506423
sl	0.2	0.2	0.1375	0.070453	15.72051	18.57275	11.15128	13.4359	29	-2.852239	-13.27949	-10.42725	4.569231	-5.136855	9.964286	9.256198	13.75	11.85714	7	0.708087	2.964286	2.256198	-3.785714	2.600945	0.141628	0.045	0.039375	0.05625	0.875	0.0632765	0.0134247	70.5714	34.5	1.550418	0.0498518	0.7156656	36.0714	-0.7192134	-0.3661368	0.00952918	0.00348448
sl	0.1	0.1	-0.0375	0.00381	16.93974	21.86413	17.88077	17.41026	23	-4.924382	-6.060256	-1.135874	-0.941026	-4.453869	6.333333	6.545455	5.666667	6	8	-0.212121	-1.666667	-1.454545	0.666667	-0.545455	0.080137	0.0325	0.026875	0.04	0.826923	0.0215171	0.00714064	52	20.3389	1.103046	0.01437646	0.9387084	31.6611	-0.4846566	-0.3163487	0.00374741	0.00214604
sl	0	0	-0.0125	0.016807	10.77949	11.04961	8.4	9.589744	4	-0.270125	6.779487	7.049612	2.379487	-1.459868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.172867	0.0475	0.0375	0.0625	0.789474	NA	NA	NA	NA	NA	NA	NA	NA	-0.2003421	-0.1962031	0.0023818	0.0023117
sl	0.2	0.2	0.1	0.022837	9.887179	11.28471	7.34359	8.615385	6	-1.397531	3.887179	5.28471	2.54359	-2.669325	6.107143	6.556474	10.17857	8.142857	8	-0.449331	-1.892857	-1.443526	-4.071429	1.586383	0.188075	0.0475	0.0375	0.0625	0.789474	NA	NA	84.2679	33.4304	NA	NA	0.9245353	50.8375	0.08605588	-0.007440395	0.0009151	8.17e-05
sl	0.175	0.175	0	0	10.27436	11.99	10.23846	10.25641	5	-1.715645	5.274359	6.990004	0.035897	-1.733594	6.285714	6.938776	9.047619	7.666667	6	-0.653061	0.285714	0.938776	-2.761905	0.727891	0.223971	0.0575	0.041875	0.07625	0.728261	NA	NA	49.9286	34.3655	NA	NA	0.3735408	15.5631	-0.06823672	-0.1679165	0.0007742	0.0020361
sl	0	0	-0.0125	0.016807	9.660256	14.10589	9.467949	9.564103	19	-4.445631	-9.339744	-4.894112	0.192308	-4.541785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.184824	0.0525	0.036875	0.07125	0.702381	NA	NA	NA	NA	NA	NA	NA	NA	-0.4648623	-0.6011704	0.00533476	0.007428
sl	0.025	0.025	0.025	0.016807	11.47051	14.57608	10.42692	10.94872	21	-3.105571	-9.529487	-6.423916	1.04359	-3.627366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.179703	0.0475	0.0375	0.0625	0.789474	NA	NA	NA	NA	NA	NA	NA	NA	-0.3454463	-0.2438561	0.0064148	0.0041943
sl	0.025	0.025	0.025	0.016807	11.47051	14.57608	10.42692	10.94872	21	-3.105571	-9.529487	-6.423916	1.04359	-3.627366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.179703	0.0475	0.0375	0.0625	0.789474	NA	NA	NA	NA	NA	NA	NA	NA	-0.356539	-0.2552055	0.0065863	0.0043657
sl	0.15	0.15	-0.2375	0.082709	12.0282	15.28138	10.5359	11.28205	21	-3.253173	-8.971795	-5.718622	1.492308	-3.999327	11.06667	13.13869	12.13333	11.6	20	-2.072019	-8.933333	-6.861314	-1.066667	-1.538686	0.161216	0.05	0.04	0.065	0.8	0.0153447	0.0198193	24	44.3779	-0.2558861	0.0044746	-0.6146878	20.3779	-0.2225545	-0.1376737	0.00342	0.0020535
sl	0.025	0.025	0.025	0.016807	10.66923	14.57608	10.6641	10.66667	25	-3.906853	-14.33077	-10.42392	0.005128	-3.909417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.242723	0.05	0.04	0.065	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.3493686	-0.3078653	0.0065405	0.0057433
sl	0	0	-0.0125	0.016807	8.519231	13.63569	6.711538	7.615385	26	-5.116461	-17.48077	-12.36431	1.807692	-6.020307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.194866	0.05375	0.04375	0.07375	0.813953	NA	NA	NA	NA	NA	NA	NA	NA	-0.6534589	-0.5485388	0.0105511	0.0083135
sl	1	0	0.0125	0.016807	8.847436	13.87079	6.79359	7.820513	26	-5.023354	-17.15256	-12.12921	2.053846	-6.050277	8.847436	13.87079	6.79359	7.820513	26	-5.023354	-17.15256	-12.12921	2.053846	-6.050277	0.191733	0.05	0.04	0.065	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.7556455	-0.6102108	0.0117743	0.0085624
sl	0	0	-0.0125	0.016807	9.105128	14.34099	11.71538	10.41026	27	-5.235858	-17.89487	-12.65901	-2.610256	-3.930729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.243002	0.05125	0.035625	0.07	0.695122	NA	NA	NA	NA	NA	NA	NA	NA	0.1066043	0.09014386	0.0015158	0.0012806
sl	0	0	-0.0125	0.016807	8.905128	14.57608	11.09487	10	28	-5.670956	-19.09487	-13.42392	-2.189744	-4.576084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.172228	0.0475	0.0375	0.0625	0.789474	NA	NA	NA	NA	NA	NA	NA	NA	0.151778	0.07411399	0.002139	0.0010962
sl	0.25	0.25	0.25	0.181818	13.63077	14.10589	10.26667	11.94872	19	-0.475118	-5.369231	-4.894112	3.364103	-2.15717	15.68889	13.78594	12.31111	14	12	1.902944	3.688889	1.785945	3.377778	0.214055	0.169197	0.04875	0.03875	0.06375	0.794872	0.0251982	0.017006	36.9778	36.7207	0.3932063	0.0081922	0.006977104	0.2571	-0.6842224	-0.709317	0.00886932	0.00932755
sl	0.1	0.1	0.1	0.068966	16.02949	15.51648	14.99615	15.51282	16	0.513011	0.029487	-0.483524	1.033333	-0.003656	13.33333	13.09091	16	14.66667	10	0.242424	3.333333	3.090909	-2.666667	1.575758	0.19757	0.05125	0.04125	0.06625	0.804878	0.0114852	0.0177968	22.6667	35.9778	-0.4379594	0.0063116	-0.4620052	13.3111	-0.5203021	-0.5355439	0.0083397	0.0086065
sl	0.025	0.025	0	0.017094	15.11282	13.40059	14.63077	14.8718	15	1.712227	0.112821	-1.599407	0.482051	1.471202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.221042	0.08375	0.053125	0.13625	0.634328	NA	NA	NA	NA	NA	NA	NA	NA	-0.3082364	-0.4131641	0.004277	0.0060987
